branch_row,from_bus,to_bus,rating_mva,hours_dc_ge_95pct,hours_dc_ge_999pct,maximum_dc_mw_over_rating
54,39,40,151.0,0,0,0.3298646930172361
55,40,41,152.0,0,0,0.2397017012009279
56,40,42,151.0,0,0,0.3051347139383309
57,41,42,151.0,0,0,0.3684239913101589
58,43,44,117.0,808,750,0.9999999680788069
59,34,43,167.0,0,0,0.6022034579365788
60,44,45,166.0,0,0,0.81167389796293
61,45,46,153.0,0,0,0.5930007412617392
62,46,47,152.0,0,0,0.44449113104918014
63,46,48,148.0,0,0,0.26035844415762194
64,47,49,150.0,0,0,0.34865900283263634
65,42,49,89.0,2297,2034,0.9999999583617312
66,42,49,89.0,2297,2034,0.9999999583617312
67,45,49,138.0,0,0,0.744966914433335
68,48,49,140.0,0,0,0.4423032246893061
69,49,50,140.0,0,0,0.34821549816654157
70,49,51,140.0,0,0,0.42744401459197706
71,51,52,142.0,0,0,0.19330008560421652
72,52,53,166.0,0,0,0.03754947472616425
73,53,54,177.0,0,0,0.1582113928663408
74,49,54,99.0,0,0,0.4383126581438753
75,49,54,97.0,0,0,0.37579606639931923
76,54,55,169.0,0,0,0.03300580566641081
77,54,56,155.0,0,0,0.13183427471827716
78,55,56,146.0,0,0,0.07778327193597452
79,56,57,140.0,0,0,0.10407317069298952
80,50,57,140.0,0,0,0.20501082785934333
81,56,58,140.0,0,0,0.0737046726387599
82,51,58,140.0,0,0,0.08827631601964521
83,54,59,125.0,0,0,0.741332176767293
84,56,59,112.0,0,0,0.5002567597351547
85,56,59,117.0,0,0,0.49199876775670714
86,55,59,133.0,0,0,0.7245710500396669
87,59,60,176.0,0,0,0.10182248971964411
88,59,61,176.0,0,0,0.14472426919299158
89,60,61,186.0,0,0,0.6259194886548459
90,60,62,176.0,0,0,0.07469906252488595
91,61,62,176.0,0,0,0.31531147507732027
92,63,59,760.0,0,0,0.6390992872995435
93,63,64,687.0,0,0,0.7070094007971659
94,64,61,1095.0,0,0,0.08104812225469724
95,38,65,297.0,5493,4195,0.9999999875811169
96,64,65,675.0,0,0,0.6677463589623487
97,49,66,186.0,65,4,0.9999173915569884
98,49,66,186.0,65,4,0.9999173915569884
99,62,66,132.0,0,0,0.23366937489511846
100,62,67,176.0,0,0,0.09678585858952019
101,65,66,793.0,0,0,0.6206106367213358
102,66,67,176.0,0,0,0.265627267657702
103,65,68,686.0,2667,2377,0.9999999993897231
104,47,69,102.0,1080,1026,0.9999999958937452
105,49,69,87.0,1144,1065,0.9999999951859063
106,68,69,793.0,0,0,0.8915373710003367
107,69,70,170.0,3119,2659,0.9999941537790983
108,24,70,72.0,4492,4319,0.9999921967311346
109,70,71,166.0,0,0,0.7566604325983609
110,24,72,146.0,0,0,0.7028023090912872
111,71,72,159.0,0,0,0.7417618464360247
112,71,73,188.0,0,0,0.04077392674468085
113,70,74,151.0,0,0,0.25889629348861004
114,70,75,151.0,0,0,0.4823390995016079
115,69,75,145.0,875,754,0.9999822713426291
116,74,75,151.0,0,0,0.8342317013296696
117,76,77,152.0,0,0,0.8694099086226488
118,69,77,150.0,0,0,0.658315308979723
119,75,77,141.0,0,0,0.785366986483681
120,77,78,151.0,0,0,0.27528883212852384
121,78,79,174.0,0,0,0.4050947485778224
122,77,80,141.0,0,0,0.911446133397044
123,77,80,157.0,0,0,0.4734099872104253
124,79,80,175.0,0,0,0.6873613681793778
125,68,81,684.0,2671,1562,0.9999972861472318
126,81,80,793.0,0,0,0.8625449479504497
127,77,82,141.0,1018,193,0.9999351448692373
128,82,83,150.0,5623,5222,0.9999999931911352
129,83,84,122.0,0,0,0.4295758209058524
130,83,85,154.0,0,0,0.7965436949683309
131,84,85,122.0,0,0,0.5426232726271638
132,85,86,156.0,0,0,0.1719823305465195
133,86,87,141.0,0,0,1.6542745995559849e-09
134,85,88,186.0,0,0,0.46752909343604343
135,85,89,168.0,0,0,0.9424304298904845
136,88,89,186.0,0,0,0.791090128274753
137,89,90,151.0,0,0,0.40229163558624514
138,89,90,169.0,0,0,0.7822918835029131
139,90,91,151.0,0,0,0.25316529903267043
140,89,92,186.0,1157,349,0.9999571180237731
141,89,92,166.0,0,0,0.40305130739675626
142,91,92,151.0,0,0,0.3064911306881872
143,92,93,151.0,0,0,0.6941513095640941
144,92,94,151.0,0,0,0.6479697501931891
145,93,94,151.0,0,0,0.5945116531402531
146,94,95,151.0,5850,5247,0.9999999932372997
147,80,96,159.0,0,0,0.6714219919260453
148,82,96,150.0,0,0,0.39509522656932894
149,94,96,149.0,5352,5066,0.9999999931462062
150,80,97,186.0,0,0,0.5464415363961538
151,80,98,176.0,0,0,0.7783168304008726
152,80,99,140.0,3989,630,0.9999999992708577
153,92,100,98.0,2899,2645,0.9999999989267648
154,94,100,150.0,8650,8487,0.9999999992989164
155,95,96,149.0,0,0,0.8226051752310986
156,96,97,186.0,0,0,0.6030577568800246
157,98,100,160.0,7508,7114,0.9999999994040282
158,99,100,175.0,7734,6686,0.9999999994551144
159,100,101,176.0,1413,1285,0.9999999994023626
160,92,102,176.0,0,0,0.8961499962025311
161,101,102,176.0,0,0,0.9153814782763946
162,100,103,151.0,4,0,0.9837562602503765
163,100,104,141.0,0,0,0.6244611018154254
164,103,104,153.0,0,0,0.3221079852281361
165,103,105,145.0,0,0,0.6576640640460429
166,100,106,124.0,0,0,0.6761891235865142
167,104,105,161.0,532,296,0.9999730559151485
168,105,106,164.0,0,0,0.786388070001558
169,105,107,154.0,0,0,0.29512363476172065
170,105,108,137.0,0,0,0.6995056154292748
171,106,107,154.0,0,0,0.17813748999469411
172,108,109,138.0,0,0,0.6784544046508018
173,103,110,159.0,0,0,0.5992935787447679
174,109,110,138.0,0,0,0.6182297968054324
175,110,111,154.0,0,0,1.2840552069888332e-09
176,110,112,135.0,0,0,0.6435233080296295
177,17,113,151.0,0,0,0.20179309883546304
178,32,113,139.0,0,0,0.17577918746874047
179,32,114,176.0,0,0,0.13714442918171035
180,27,115,175.0,0,0,0.11638616467206891
181,114,115,175.0,0,0,0.08070392333703806
182,68,116,7218.0,0,0,0.032567924493211414
183,12,117,170.0,0,0,0.1503038868235294
184,75,118,151.0,0,0,0.20167342811358646
185,76,118,151.0,0,0,0.2998321822956465
