month,recovery_selected,load_mw,net_load_mw,available_nd_mw,renewable_fraction,p95_dc_utilization,dc_branches_ge_95pct,dc_soc_fraction,dc_charging_mw,dc_discharging_mw,signpost_power_fraction,absolute_net_ramp_mw,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh,hours
7,True,3800.215038217501,3277.7806016572913,522.4344365602096,0.13096916829672262,0.9544090947615791,11.0,0.71361227907412,5.9587071864297605e-05,4.307245183451449e-07,2.6064877081147614e-06,111.01921310379032,112.92052580843487,957.2332236701152,422.1563489308402,-2.363466732659114,11.037129529246283,2.7550121358829536,10.645588888785689,4
8,False,3845.037035534444,3140.4054977830338,704.6315377514098,0.18542432830138136,0.9372875361641251,10.317997293640055,0.7922298271161224,1.168670513224235,0.8482479090861057,0.08043604962179418,145.28464224100682,112.28231496446575,983.0553144240457,435.38649972978993,-0.08952764627489482,12.159191029855178,-2.081317223099067,27.517531370489696,739
8,True,4080.6589804427995,3611.2791634086884,469.3798170341118,0.11521243198027933,0.9167223983638649,8.4,0.7969872078628781,3.427412229965726e-05,1.8395546480829394,0.028335884429011797,246.3362555308483,120.60962885071835,806.689526385024,343.03994876715285,6.442652199606357,6.678413556711343,0.5938876477213624,62.72235076146707,5
9,False,4009.695074261669,3381.542937548728,628.1521367129417,0.15746511802282778,0.9264250753551382,9.795197740112995,0.9133900381742519,0.6517340384820757,0.650603084374384,0.05955961798510336,134.29532050669616,120.32385166390199,927.3873080993546,403.53172821772637,0.2904017427708936,8.921305826695175,-13.388540225645741,27.14370297927227,708
9,True,3961.8825407594995,3537.914788769706,423.9677519897935,0.10349179549561643,0.9062240044282367,8.083333333333334,0.9271046250378485,0.00012050907643019013,5.133686988509252e-06,0.035302867482995985,179.0540777023089,130.8504164255993,832.8877221259839,351.01865285019227,-14.912340882904973,14.912359655645167,-84.99334152830336,112.51234122234708,12
10,False,4233.751425835826,3620.572802628892,613.1786232069336,0.14613266431450525,0.9281612781735319,9.762228260869565,0.878588265997358,1.5802459252988164,2.341360457419959,0.09494528662524346,124.47316614255622,136.70095296737884,855.874981161397,359.58190190173605,0.14117448142098232,12.18842973223083,-16.01737388241794,35.956961751033234,736
10,True,4032.5425295085,3636.8633049570017,395.6792245514986,0.0970715528950415,0.9107124550453167,8.625,0.8893553516143412,3.5532441549475426,2.9032534808418607e-07,0.19917978766138633,126.05681667398335,134.09905642318364,835.9743926529368,350.93766811487654,-7.54023011312457,11.840295572689921,-96.24755178608561,114.80544943360546,8
11,False,4427.351485033888,3875.842543228111,551.508941805777,0.12532482812024065,0.9091447770290755,8.551966292134832,0.6992833110623016,7.9854874242412395,7.4696564672800605,0.13361622072438548,116.48000606532854,151.12331832000984,787.9100772100185,318.3933794450043,-0.2147969821742345,12.448537612486163,3.0185194059662255,30.00673127851114,712
11,True,4230.2177781885,3782.241768341747,447.97600984675313,0.10390345911526629,0.8966462995589352,8.625,0.4618129977315913,1.9172863720726696,3.067283740857199e-07,0.08759848888045631,93.33722708028057,128.5397567639125,832.7000059175807,352.0801245768341,10.337065667021005,12.767961309487967,-17.82358766582352,44.291883484705835,8
12,False,4610.122519303399,4059.3396952575563,550.7828240458421,0.12035122594238983,0.9191190618187841,8.705962059620596,0.5268335120029564,15.448844324703085,15.946350169496732,0.22445154827177893,113.91960955776158,165.81424357645426,787.8505426827562,311.018149553151,-0.17499721037496324,15.415064483243016,7.913466627693836,30.202680948724588,738
12,True,4562.030366894,4141.41870520238,420.61166169161964,0.0934014164758778,0.9138622884545993,8.666666666666666,0.4000048509128569,43.815342247030536,37.83107154388019,0.4046368160996943,81.28598464916377,143.19807682946785,763.8517671971539,310.326845183843,21.524658903088724,24.71420535015913,17.427619542151977,27.424831973341796,6
