bus,base_load_mw,load_share,dispatchable_pmax_mw,renewable_ids,available_renewable_mwh,storage_power_mw,storage_energy_mwh,annual_load_minus_available_renewables_mwh
66,39.0,0.009193776520509194,784.0,,0.0,0.0,0.0,341640.00000109203
67,28.0,0.006600660066006601,0.0,,0.0,0.0,0.0,245280.000000784
68,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
69,0.0,0.0,1182.0,,0.0,0.0,0.0,0.0
70,66.0,0.015558698727015558,0.0,,0.0,0.0,0.0,578160.000001848
71,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
72,12.0,0.002828854314002829,0.0,,0.0,0.0,0.0,105120.000000336
73,6.0,0.0014144271570014145,0.0,,0.0,0.0,0.0,52560.000000168
74,68.0,0.01603017444601603,0.0,,0.0,0.0,0.0,595680.0000019041
75,47.0,0.01107967939651108,0.0,,0.0,0.0,0.0,411720.000001316
76,68.0,0.01603017444601603,0.0,,0.0,0.0,0.0,595680.0000019041
77,61.0,0.01438000942951438,0.0,,0.0,0.0,0.0,534360.000001708
78,71.0,0.016737388024516738,0.0,,0.0,0.0,0.0,621960.000001988
79,39.0,0.009193776520509194,0.0,,0.0,0.0,0.0,341640.00000109203
80,130.0,0.030645921735030647,509.0,,0.0,0.0,0.0,1138800.00000364
81,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
82,54.0,0.01272984441301273,0.0,,0.0,0.0,0.0,473040.00000151206
83,20.0,0.004714757190004715,0.0,,0.0,0.0,0.0,175200.00000056002
84,11.0,0.002593116454502593,0.0,,0.0,0.0,0.0,96360.000000308
85,24.0,0.005657708628005658,0.0,,0.0,0.0,0.0,210240.000000672
86,21.0,0.0049504950495049506,0.0,,0.0,0.0,0.0,183960.000000588
87,0.0,0.0,10.0,,0.0,0.0,0.0,0.0
88,48.0,0.011315417256011316,0.0,,0.0,0.0,0.0,420480.000001344
89,0.0,0.0,637.0,,0.0,28.9372558107,115.7490232428,0.0
90,163.0,0.038425271098538424,0.0,,0.0,0.0,0.0,1427880.000004564
91,10.0,0.0023573785950023575,0.0,,0.0,0.0,0.0,87600.00000028001
92,65.0,0.015322960867515324,0.0,,0.0,0.0,0.0,569400.00000182
93,12.0,0.002828854314002829,0.0,,0.0,0.0,0.0,105120.000000336
94,30.0,0.007072135785007072,0.0,,0.0,0.0,0.0,262800.00000084
95,42.0,0.009900990099009901,0.0,,0.0,0.0,0.0,367920.000001176
96,38.0,0.008958038661008957,0.0,,0.0,0.0,0.0,332880.000001064
97,15.0,0.003536067892503536,0.0,,0.0,0.0,0.0,131400.00000042
98,34.0,0.008015087223008015,0.0,,0.0,0.0,0.0,297840.00000095204
99,42.0,0.009900990099009901,0.0,,0.0,0.0,0.0,367920.000001176
100,37.0,0.008722300801508723,653.0,,0.0,0.0,0.0,324120.00000103604
101,22.0,0.005186232909005186,0.0,,0.0,0.0,0.0,192720.000000616
102,5.0,0.0011786892975011788,0.0,,0.0,0.0,0.0,43800.000000140004
103,23.0,0.0054219707685054215,108.0,,0.0,0.0,0.0,201480.00000064398
104,38.0,0.008958038661008957,0.0,,0.0,0.0,0.0,332880.000001064
105,31.0,0.007307873644507308,0.0,wind_case118,2786994.000008908,21.655032494100002,86.62012997640001,-2515434.00000804
106,43.0,0.010136727958510137,0.0,,0.0,0.0,0.0,376680.000001204
107,50.0,0.011786892975011787,0.0,,0.0,0.0,0.0,438000.0000014
108,2.0,0.0004714757190004715,0.0,,0.0,0.0,0.0,17520.000000056
109,8.0,0.001885902876001886,0.0,,0.0,0.0,0.0,70080.000000224
110,39.0,0.009193776520509194,0.0,,0.0,0.0,0.0,341640.00000109203
111,0.0,0.0,79.0,,0.0,0.0,0.0,0.0
112,68.0,0.01603017444601603,0.0,,0.0,0.0,0.0,595680.0000019041
113,6.0,0.0014144271570014145,0.0,,0.0,0.0,0.0,52560.000000168
114,8.0,0.001885902876001886,0.0,,0.0,0.0,0.0,70080.000000224
115,22.0,0.005186232909005186,0.0,,0.0,0.0,0.0,192720.000000616
116,184.0,0.04337576614804337,0.0,,0.0,0.0,0.0,1611840.0000051518
117,20.0,0.004714757190004715,0.0,,0.0,0.0,0.0,175200.00000056002
118,33.0,0.007779349363507779,0.0,,0.0,0.0,0.0,289080.000000924
