source,bytes,sha256,group,scenario,disposition,destination,purpose,producer,dependencies
outputs/analysis/s5_completion_band_20260915T164648/completion_walltime_band.pdf,56395,5a3fc05a12a01a10b4ce8bd8f5e0933f4d548d5ea7322121c8325ee390f39fda,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/completion_walltime_band.png,139466,64ce983dc8be64574cedeb2a5c5e835a25cd18fa57da08805ab25d8e817a43db,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/summary.json,3667,d870403c8b4ccbac5c179f8facec5c90bdfc10d546995a452bbfa3fe8642345e,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_walltime_20260914/checkpoint_snapshot.json,652535,685b2a26c790e936fb1564e71a9e0a7088d2a213d0bd28e2babdd10d8624efbb,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_20260914/plot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_20260914/completion.csv,1054681,665a9d505dc846cf286a25823b808034cdf432365bd439bc352d19423f783b80,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_20260914/plot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_20260914/completion_walltime.pdf,47359,be1cb72971d1655fda94dc5f94930683b698f4b053cb03d3a02ca248f434950b,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_20260914/plot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_20260914/completion_walltime.png,126560,c49cc22a8c37f2cfab8585e0c1f3af80b80f96e13edebf34b2c503e3002a7130,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_20260914/plot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_20260914/plot.py,6761,58489711db634e5f20da16ad7588f1b16c2e2dab19767b050bfbd21c6b5cf921,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_20260914/plot.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_20260914/summary.json,2658,3a061835f4ddd3560798e1ebb79a378370e9702960a862cf3ed983afafdb6094,analysis/s5_completion_walltime_20260914,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_20260914/plot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/checkpoint_snapshot.json,713227,d110d44291e6f3414679319627ff9f23beee659206c02fd94bae45203689df71,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/completion.csv,1156841,ed8db8454bcfbf010e7bbee9c5a0ede68c0cac64acd124e29e281c8ed7e6445b,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/completion_walltime.pdf,49051,d6d4cc6cfa5b39835c20a78c9994c0755b03e29c7c3cc119f3213a5dc02c86d2,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/completion_walltime.png,127049,8f6073550ccd17ac9bf6b3b11ca2c0196f08ca6ee6c91c4c0ceb004f29d6b3e5,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/completion_walltime_with_reboot.pdf,48011,d46e339ade8e807b09a539a139b20f6220d7c02296acfd1ec959da96766dcdf4,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/completion_walltime_with_reboot.png,135555,e445dd6b8a403103f37dcf5a5d13dfed579ff22011ea94ec89514c6d85b7c679,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py,6761,58489711db634e5f20da16ad7588f1b16c2e2dab19767b050bfbd21c6b5cf921,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py,3657,ce1db1ad4c0cf3ba4c5b6d5c4c33fd8a9df920d544e48efc8a652e1f8b34865f,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915040336/reboot_markers.json,479,2665711560cebe42003db869a8345a62d6c362ac9194ca7066bce52ed8835e3c,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915040336/summary.json,2658,b2ace2bb651697a2699c7606165100a4c5f7de705c42cbfe462ac84bf906e0ff,analysis/s5_completion_walltime_update_20260915040336,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915040336/plot.py; outputs/analysis/s5_completion_walltime_update_20260915040336/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/checkpoint_snapshot.json,908538,f723c00c32a17c54e654d74948048c66a4f4bef774ce6c718f3ee6f1200890ad,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion.csv,1481931,093168c5a8e31a100d1b3a900840a1759121fc93c11b99a2dd41e26c67609bae,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime.pdf,53101,a1f46d9d2f1f82b20be602160a197e5bec91a043f0b6b59663850c9ab15ca823,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime.png,130383,2b4bdf15f1aaa0d657e9a8c6805adf130e35700f837480cf282fda72f2606556,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_last24h.pdf,53880,4aea9cc075e94b5f51646862488b6dc5fa266eec968b623c0757c8954b053a90,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_last24h.png,167150,1fc10abba274915bcdb8f1c6bcdc9c4a0c16d5d464ea11184acf7ff826614926,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_with_fan.pdf,52613,b1189b71989fa8cdf46a8f75fe45571818444bf14a8be413a94f14f3f04baac8,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_with_fan.png,151751,e6c6adb4e5d6d1c937ebf7c7f483aec07ca40e4b41e651c2c857766bb776816f,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_with_reboot.pdf,52050,9d3279254d27c9a6e11a5388e2bf6f2ccd137b43eebf2685d933e04211b5eb9a,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/completion_walltime_with_reboot.png,138644,1e0ab30435a159eb47ad260067ed586b2abf102cdac535fe24957c18bbf4ca50,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/operator_markers.json,931,0f18d77ed5730ace724ab7651f69a278af4e6a22ba32522b4126792a19a56b4e,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/operator_markers_last24h.json,931,0f18d77ed5730ace724ab7651f69a278af4e6a22ba32522b4126792a19a56b4e,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py,6761,58489711db634e5f20da16ad7588f1b16c2e2dab19767b050bfbd21c6b5cf921,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py,4567,664a5b7be40a91b031275828422fedfbf8e236b1342e7c5fe82b8f50375a7ee1,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py,4363,ea7ed55bc24c4bac643354b2075cae648543efffeb72b874d6a3f2e01e7a6edd,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py,3657,ce1db1ad4c0cf3ba4c5b6d5c4c33fd8a9df920d544e48efc8a652e1f8b34865f,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_walltime_update_20260915145440/reboot_markers.json,479,2665711560cebe42003db869a8345a62d6c362ac9194ca7066bce52ed8835e3c,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_completion_walltime_update_20260915145440/summary.json,3163,8f6e629fe6ec98f78a8be1790377e21430da00af7020686fc2b01a4b9294ae0a,analysis/s5_completion_walltime_update_20260915145440,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_completion_walltime_update_20260915145440/plot.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_last24h.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_fan.py; outputs/analysis/s5_completion_walltime_update_20260915145440/plot_with_reboot.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_period_p95_20260915/period_p95_last24h.pdf,34711,1a2009b37a5c72700a901a42a47e537d812a986406a72eb3a287ebbf1eee20bf,analysis/s5_period_p95_20260915,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_period_p95_20260915/plot.py; outputs/analysis/s5_period_p95_20260915/render.py",Original source paths in scripts and retained artifact metadata; plotting environment
outputs/analysis/s5_period_p95_20260915/period_p95_last24h.png,223173,ede5d70cd1103e5c310abae222d2f156f7f35a59cef2f0e348b00fef06693c81,analysis/s5_period_p95_20260915,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools","Nearby candidate producer(s), exact invocation not established: outputs/analysis/s5_period_p95_20260915/plot.py; outputs/analysis/s5_period_p95_20260915/render.py",Original source paths in scripts and retained artifact metadata; plotting environment
